,dr,dr_name,dr_date,dr_place,dr_knownfor,dr_awards_wins,dr_awards_nomi tions,dr_link,dr_awards_link
185,Brad Silberling ,Brad Silberling,9/8/1963,"Washington, District of Columbia, USA","['City of Angels', 'A Series of Unfortunate Events', 'Moonlight Mile', 'Casper']",1,5,https://www.imdb.com/name/nm0797869/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0797869/awards?ref_=nm_ql_2
186,Steven Soderbergh ,Steven Soderbergh,1/14/1963,"Atlanta, Georgia, USA","['Sex, Lies, and Videotape', 'Traffic', 'Behind the Candelabra', 'Erin Brockovich']",30,81,https://www.imdb.com/name/nm0001752/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0001752/awards?ref_=nm_ql_2
187,Harold Ramis ,Harold Ramis,11/21/1944,"Chicago, Illinois, USA","['Ghostbusters', 'Groundhog Day', 'Stripes', 'Knocked Up']",9,10,https://www.imdb.com/name/nm0000601/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0000601/awards?ref_=nm_ql_2
188,Jim Jarmusch ,Jim Jarmusch,1/22/1953,"Akron, Ohio, USA","['Broken Flowers', 'Only Lovers Left Alive', 'Stranger Than Paradise', 'Paterson']",33,48,https://www.imdb.com/name/nm0000464/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0000464/awards?ref_=nm_ql_2
189,Nora Ephron,Nora Ephron,5/19/1941,"New York City, New York, USA","['Julie & Julia', 'When Harry Met Sally...', 'Bewitched', ""You've Got Mail""]",8,21,https://www.imdb.com/name/nm0001188/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0001188/awards?ref_=nm_ql_2
190,Edgar Wright ,Edgar Wright,4/18/1974,"Poole, Dorset, England, UK","['Shaun of the Dead', 'Baby Driver', ""The World's End"", 'Scott Pilgrim vs. the World']",13,32,https://www.imdb.com/name/nm0942367/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0942367/awards?ref_=nm_ql_2
191,Scott Stewart,Scott Stewart,NA,NA,"['Dark Skies', 'Dominion', 'Legion', 'Siren']", , ,https://www.imdb.com/name/nm0829820/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0829820/awards?ref_=nm_ql_2
192,Martin Scorsese ,Martin Scorsese,11/17/1942,"Queens, New York City, New York, USA","['Taxi Driver', 'Goodfellas', 'Mean Streets', 'Silence']",146,213,https://www.imdb.com/name/nm0000217/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0000217/awards?ref_=nm_ql_2
193,Dean DeBlois ,Dean DeBlois,6/7/1970,"Aylmer, Quebec, Canada","['How to Train Your Dragon', 'How to Train Your Dragon 2', 'Lilo & Stitch', 'How to Train Your Dragon: The Hidden World']",8,25,https://www.imdb.com/name/nm0213450/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0213450/awards?ref_=nm_ql_2
194,Srdjan Spasojevic ,Srdjan Spasojevic,1976-0-0,NA,"['Srpski film', 'The ABCs of Death', 'Whereout', 'Free Fall']",1,2,https://www.imdb.com/name/nm3094978/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm3094978/awards?ref_=nm_ql_2
195,Nathan Greno ,Nathan Greno,3/22/1975,"Kenosha, Wisconsin, USA","['Tangled', 'Meet the Robinsons', 'Tangled Ever After', 'Big Hero 6']",1,4,https://www.imdb.com/name/nm1977355/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm1977355/awards?ref_=nm_ql_2
196,Tim Burton,Tim Burton,8/25/1958,"Burbank, California, USA","['Edward Scissorhands', 'Corpse Bride', 'Ed Wood', 'Frankenweenie']",23,72,https://www.imdb.com/name/nm0000318/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0000318/awards?ref_=nm_ql_2
197,Matthew Vaughn,Matthew Vaughn,3/7/1971,"London, England, UK","['Kick-Ass', 'X: First Class', 'Kingsman: The Secret Service', 'Layer Cake']",5,18,https://www.imdb.com/name/nm0891216/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0891216/awards?ref_=nm_ql_2
198,Julio Medem ,Julio Medem,10/21/1958,"Donostia-San Sebasti??n, Guip??zcoa, Pa??s Vasco, Spain","['Sex and Luc??a', 'Lovers of the Arctic Circle', 'La ardilla roja', 'Vacas']",37,23,https://www.imdb.com/name/nm0575523/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0575523/awards?ref_=nm_ql_2
199,Will Gluck ,Will Gluck,NA,NA,"['Easy A', 'Friends with Benefits', 'Peter Rabbit', 'Annie']",0,1,https://www.imdb.com/name/nm0323239/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0323239/awards?ref_=nm_ql_2
200,Denis Villeneuve ,Denis Villeneuve,10/3/1967,"Trois-Rivi??res, Qu??bec, Canada","['Blade Runner 2049', 'Arrival', 'Incendies', 'Sicario']",73,78,https://www.imdb.com/name/nm0898288/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0898288/awards?ref_=nm_ql_2
201,Derek Cianfrance ,Derek Cianfrance,1/23/1974,"Lakewood, Colorado, USA","['Blue Valentine', 'The Place Beyond the Pines', 'The Light Between Oceans', 'Brother Tied']",9,16,https://www.imdb.com/name/nm0161834/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0161834/awards?ref_=nm_ql_2
202,Lee Unkrich ,Lee Unkrich,8/8/1967,"Cleveland, Ohio, USA","['Coco', 'Toy Story 2', 'Toy Story 3', 'Finding Nemo']",30,27,https://www.imdb.com/name/nm0881279/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0881279/awards?ref_=nm_ql_2
203,Ben Affleck ,Ben Affleck,8/15/1972,"Berkeley, California, USA","['Argo', 'Gone Girl', 'The Town', 'Good Will Hunting']",73,108,https://www.imdb.com/name/nm0000255/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0000255/awards?ref_=nm_ql_2
204,Joseph Kosinski,Joseph Kosinski,5/3/1974,"Marshalltown, Iowa, USA","['Tron', 'Oblivion', 'Only the Brave']",0,1,https://www.imdb.com/name/nm2676052/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm2676052/awards?ref_=nm_ql_2
205,James Wan,James Wan,2/26/1977,"Kuching, Sarawak, Malaysia","['Saw', 'The Conjuring 2', 'Furious 7', 'The Conjuring']",14,11,https://www.imdb.com/name/nm1490123/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm1490123/awards?ref_=nm_ql_2
206,Eli Craig ,Eli Craig,5/25/1972,"Los Angeles County, California, USA","['Tucker and Dale vs Evil', 'Little Evil', 'The Tao of Pong', 'Zombieland']",7,1,https://www.imdb.com/name/nm0185848/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0185848/awards?ref_=nm_ql_2
207,David O. Russell ,David O. Russell,8/20/1958,"Manhattan, New York City, New York, USA","['American Hustle', 'Silver Linings Playbook', 'Three Kings', 'Joy']",43,100,https://www.imdb.com/name/nm0751102/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0751102/awards?ref_=nm_ql_2
208, Steve Antin ,Steve Antin,4/19/1958,"Queens, New York, USA","['The Goonies', 'Burlesque', 'The Accused', 'Inside Monkey Zetterland']",0,1,https://www.imdb.com/name/nm0031078/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0031078/awards?ref_=nm_ql_2
209, Pierre Coffin,Pierre Coffin,3/15/1967,France,"['Despicable Me 2', 'Minions', 'Despicable Me 3', 'Despicable Me']",0,23,https://www.imdb.com/name/nm1853544/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm1853544/awards?ref_=nm_ql_2
210, Tom Hooper,Tom Hooper,10/5/1972,"London, England, UK","['The Danish Girl', 'Les Mis??rables', ""The King's Speech"", 'Red Dust']",34,49,https://www.imdb.com/name/nm0393799/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0393799/awards?ref_=nm_ql_2
211, Alexandre Aja ,Alexandre Aja,8/7/1978,"Paris, France","['High Tension', 'The Hills Have Eyes', 'Piranha 3D', 'Horns']",2,11,https://www.imdb.com/name/nm0014960/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0014960/awards?ref_=nm_ql_2
212, Jimmy Hayward,Jimmy Hayward,NA,NA,"['Horton Hears a Who!', 'Jonah Hex', 'Free Birds', 'Robots']", , ,https://www.imdb.com/name/nm0371755/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0371755/awards?ref_=nm_ql_2
213, Jim Field Smith ,Jim Field Smith,2/20/1979,"England, UK","['Stag', 'The Wrong Mans', 'Butter', ""She's Out of My League""]",0,1,https://www.imdb.com/name/nm1637768/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm1637768/awards?ref_=nm_ql_2
214, Joe Carnahan ,Joe Carnahan,5/9/1969,"Sacramento, California, USA","['The A-Team', 'Narc', ""Smokin' Aces"", 'The Grey']",4,3,https://www.imdb.com/name/nm0138620/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0138620/awards?ref_=nm_ql_2
215, David Slade,David Slade,9/26/1969,UK,"['Hard Candy', '30 Days of Night', 'Black Mirror: Bandersnatch', 'The Twilight Saga: Eclipse']",4,8,https://www.imdb.com/name/nm1720541/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm1720541/awards?ref_=nm_ql_2
216, Nimr??d Antal ,Nimr??d Antal,11/30/1973,"Los Angeles, California, USA","['Kontroll', 'Predators', 'Machete', 'Metallica Through the Never']",10,5,https://www.imdb.com/name/nm0030735/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0030735/awards?ref_=nm_ql_2
217, Albert Hughes,Albert Hughes,4/1/1972,"Detroit, Michigan, USA","['The Book of Eli', 'Menace II Society', 'From Hell', 'Dead Presidents']",1,7,https://www.imdb.com/name/nm0400436/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0400436/awards?ref_=nm_ql_2
218, Steve Pink,Steve Pink,NA,NA,"['Grosse Pointe Blank', 'High Fidelity', 'Hot Tub Time Machine 2', 'Hot Tub Time Machine']",0,6,https://www.imdb.com/name/nm0684336/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0684336/awards?ref_=nm_ql_2
219, Phillip Noyce ,Phillip Noyce,4/29/1950,"Griffith, New South Wales, Australia","['The Quiet American', 'Rabbit-Proof Fence', 'The Giver', 'Newsfront']",24,10,https://www.imdb.com/name/nm0637518/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0637518/awards?ref_=nm_ql_2
220, Rodrigo Cort??s,Rodrigo Cort??s,1973-0-0,NA,"['Buried', 'Red Lights', 'Concursante', '15 Days']",15,13,https://www.imdb.com/name/nm0181579/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0181579/awards?ref_=nm_ql_2
221, Steven R. Monroe ,Steven R. Monroe,9/15/1964,"New York, USA","['I Spit on Your Grave', 'I Spit on Your Grave 2', 'House of 9', 'A Harvest Wedding']", , ,https://www.imdb.com/name/nm0003458/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0003458/awards?ref_=nm_ql_2
222, Samuel Bayer ,Samuel Bayer,2/17/1962,"Syracuse, New York, USA","['Pony', 'A Nightmare on Elm Street', 'Alpha Dog', 'Justin Timberlake: What Goes Around ...Comes Around']",11,1,https://www.imdb.com/name/nm1207904/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm1207904/awards?ref_=nm_ql_2
223, Anand Tucker ,Anand Tucker,6/24/1963,"Bangkok, Thailand","['Girl with a Pearl Earring', 'Hilary and Jackie', 'Leap Year', 'The Railway Man']",2,6,https://www.imdb.com/name/nm0875793/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0875793/awards?ref_=nm_ql_2
224, Casey Affleck ,Casey Affleck,8/12/1975,"Falmouth, Massachusetts, USA","['Manchester by the Sea', 'Gone Baby Gone', 'The Assassination of Jesse James by the Coward Robert Ford', ""Ocean's Eleven""]",66,55,https://www.imdb.com/name/nm0000729/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0000729/awards?ref_=nm_ql_2
225, Sylvain White ,Sylvain White,NA,NA,"['Stomp the Yard', 'The Losers', 'La marque des anges - Miserere', 'The Americans']",0,1,https://www.imdb.com/name/nm1234893/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm1234893/awards?ref_=nm_ql_2
226, Mike Newell,Mike Newell,3/28/1942,"St. Albans, Hertfordshire, England, UK","['Four Weddings and a Funeral', 'Harry Potter and the Goblet of Fire', 'Donnie Brasco', 'Into the West']",14,12,https://www.imdb.com/name/nm0001565/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0001565/awards?ref_=nm_ql_2
227, Harald Zwart ,Harald Zwart,7/1/1965,Netherlands,"['Den 12. mann', 'Agent Cody Banks', 'The Mortal Instruments: City of Bones', 'The Karate Kid']",2,1,https://www.imdb.com/name/nm0958969/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0958969/awards?ref_=nm_ql_2
228,Garry Marshall ,Garry Marshall,11/13/1934,"New York City, New York, USA","['Pretty Woman', 'The Princess Diaries', 'Happy Days', 'Mork & Mindy']",13,14,https://www.imdb.com/name/nm0005190/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0005190/awards?ref_=nm_ql_2
229, Susanna White,Susanna White,1960-0-0,NA,"['Bleak House', 'Woman Walks Ahead', ""Parade's End"", 'Generation Kill']",10,8,https://www.imdb.com/name/nm1264352/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm1264352/awards?ref_=nm_ql_2
230, Debra Granik ,Debra Granik,2/6/1963,"Cambridge, Massachusetts, USA","[""Winter's Bone"", 'Leave No Trace', 'Down to the Bone', 'Stray Dog']",49,79,https://www.imdb.com/name/nm0335138/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0335138/awards?ref_=nm_ql_2
231, Tom McGrath,Tom McGrath,8/7/1964,"Lynnwood, Washington, USA","['Madagascar', ""Madagascar 3: Europe's Most Wanted"", 'Madagascar: Escape 2 Africa', 'Penguins of Madagascar']",2,11,https://www.imdb.com/name/nm0569891/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0569891/awards?ref_=nm_ql_2
232, Rob Reiner ,Rob Reiner,3/6/1947,"The Bronx, New York City, New York, USA","['All in the Family', 'This Is Spinal Tap', 'The Wolf of Wall Street', 'A Few Good Men']",25,28,https://www.imdb.com/name/nm0001661/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0001661/awards?ref_=nm_ql_2
233, Ryan Murphy,Ryan Murphy,11/9/1965,"Indianapolis, Indiana, USA","['Glee', 'American Horror Story', 'Eat Pray Love', 'Feud']",27,60,https://www.imdb.com/name/nm0614682/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0614682/awards?ref_=nm_ql_2
234, Ethan Maniquis ,Ethan Maniquis,NA,NA,"['Machete', 'Sin City', 'Hands of Stone', 'Spy Kids 2: Island of Lost Dreams']", , ,https://www.imdb.com/name/nm0542450/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0542450/awards?ref_=nm_ql_2
235, Thor Freudenthal ,Thor Freudenthal,10/20/1972,"West Berlin, West Germany","['Starman', 'Motel', 'Diary of a Wimpy Kid', 'Percy Jackson: Sea of Monsters']",3,1,https://www.imdb.com/name/nm0294457/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0294457/awards?ref_=nm_ql_2
236, Mark Romanek ,Mark Romanek,9/18/1959,"Chicago, Illinois, USA","['One Hour Photo', 'Never Let Me Go', 'Michael Jackson Feat. Janet Jackson: Scream', 'Static']",11,21,https://www.imdb.com/name/nm0738796/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0738796/awards?ref_=nm_ql_2
237, Andrew Traucki ,Andrew Traucki,NA,NA,"['Black Water', 'The Reef', 'The ABCs of Death', 'The Jungle']",1,3,https://www.imdb.com/name/nm0871188/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0871188/awards?ref_=nm_ql_2
238, Jon Turteltaub ,Jon Turteltaub,8/8/1963,"New York City, New York, USA","['Cool Runnings', 'While You Were Sleeping', 'Phenomenon', 'National Treasure']",0,2,https://www.imdb.com/name/nm0005509/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0005509/awards?ref_=nm_ql_2
239, Anton Corbijn,Anton Corbijn,5/20/1955,"Strijen, Zuid-Holland, Netherlands","['Control', 'A Most Wanted Man', 'The American', 'Depeche Mode: Devotional']",17,16,https://www.imdb.com/name/nm0179221/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0179221/awards?ref_=nm_ql_2
240, Florian Henckel von Donnersmarck ,Florian Henckel von Donnersmarck,5/2/1973,"Cologne, North Rhine-Westphalia, Germany","['The Lives of Others', 'The Tourist', 'Werk ohne Autor', 'Dobermann']",60,12,https://www.imdb.com/name/nm0003697/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0003697/awards?ref_=nm_ql_2
241, Elizabeth Allen Rosenbaum ,Elizabeth Allen Rosenbaum,NA,NA,"['Pretty Little Liars: The Perfectionists', 'The Exorcist', 'Ramona and Beezus', 'Aquamarine']",3,1,https://www.imdb.com/name/nm0020491/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0020491/awards?ref_=nm_ql_2
242, Allen Coulter,Allen Coulter,NA,NA,"['Remember Me', 'Hollywoodland', 'The Sopranos', 'Damages']",2,23,https://www.imdb.com/name/nm0002339/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0002339/awards?ref_=nm_ql_2
243, Jee-woon Kim ,Jee-woon Kim,5/27/1964,"Seoul, South Korea","['Joheunnom nabbeunnom isanghannom', 'A Tale of Two Sisters', 'I Saw the Devil', 'A Bittersweet Life']",33,21,https://www.imdb.com/name/nm0453518/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0453518/awards?ref_=nm_ql_2
244, Peter Weir,Peter Weir,8/21/1944,"Sydney, New South Wales, Australia","['Master and Commander: The Far Side of the World', 'Witness', 'The Truman Show', 'Dead Poets Society']",36,59,https://www.imdb.com/name/nm0001837/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0001837/awards?ref_=nm_ql_2
245, Paul Haggis ,Paul Haggis,3/10/1953,"London, Ontario, Canada","['Crash', 'In the Valley of Elah', 'Due South', 'Million Dollar Baby']",49,51,https://www.imdb.com/name/nm0353673/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0353673/awards?ref_=nm_ql_2
246, Michael Apted ,Michael Apted,2/10/1941,"Aylesbury, Buckinghamshire, England, UK","['Rome', 'Enigma', 'The World Is Not Enough', 'Enough']",22,18,https://www.imdb.com/name/nm0000776/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0000776/awards?ref_=nm_ql_2
247, John Madden,John Madden,4/8/1949,"Portsmouth, Hampshire, England, UK","['Shakespeare in Love', 'The Best Exotic Marigold Hotel', 'Proof', 'Miss Sloane']",12,20,https://www.imdb.com/name/nm0006960/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0006960/awards?ref_=nm_ql_2
248, Julie Anne Robinson ,Julie Anne Robinson,NA,NA,"['One for the Money', 'The Last Song', 'Blackpool', 'Brooklyn Nine-Nine']",1,5,https://www.imdb.com/name/nm1455688/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm1455688/awards?ref_=nm_ql_2
249, Mark Steven Johnson ,Mark Steven Johnson,10/30/1964,"Hastings, Minnesota, USA","['Finding Steve McQueen', 'Grumpy Old Men', 'Ghost Rider', 'Daredevil']",0,1,https://www.imdb.com/name/nm0425756/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0425756/awards?ref_=nm_ql_2
250, Joe Johnston,Joe Johnston,5/13/1950,"Austin, Texas, USA","['Captain America: The First Avenger', 'October Sky', 'The Rocketeer', 'Jurassic Park III']",2,6,https://www.imdb.com/name/nm0002653/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0002653/awards?ref_=nm_ql_2
251, Anna Boden ,Anna Boden,NA,NA,"['Half Nelson', 'Captain Marvel', 'Sugar', ""It's Kind of a Funny Story""]",7,6,https://www.imdb.com/name/nm1349818/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm1349818/awards?ref_=nm_ql_2
252, Ryan Combs,Ryan Combs,9/18/1974,"Compton, California, USA","['Caged Animal', 'Straight Out of Compton', 'King of the Avenue', 'The Hit']", , ,https://www.imdb.com/name/nm1141083/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm1141083/awards?ref_=nm_ql_2
253, Mike Mitchell,Mike Mitchell,NA,NA,"['Monsters vs. Aliens', 'Shrek Forever After', 'Herd', 'Sky High']",5,0,https://www.imdb.com/name/nm0593610/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0593610/awards?ref_=nm_ql_2
254, Greg Berlanti ,Greg Berlanti,5/24/1972,"Rye, New York, USA","['The Flash', 'Love, Simon', ""DC's Legends of Tomorrow"", 'Green Lantern']",2,10,https://www.imdb.com/name/nm0075528/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0075528/awards?ref_=nm_ql_2
255, John Luessenhop ,John Luessenhop,NA,NA,"['Takers', 'Texas Chainsaw 3D', 'Tick, Tick, Tick', 'Speed Kills']",1,1,https://www.imdb.com/name/nm0525141/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0525141/awards?ref_=nm_ql_2
256, Andy Tennant,Andy Tennant,6/15/1955,"Chicago, Illinois, USA","[""Fool's Gold"", 'Hitch', 'Sweet Home Alabama', 'Ever After: A Cinderella Story']",1,2,https://www.imdb.com/name/nm0855035/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0855035/awards?ref_=nm_ql_2
257, Emilio Estevez ,Emilio Estevez,5/12/1962,"New York City, New York, USA","['The Way', 'Bobby', 'The Public', 'The Breakfast Club']",4,11,https://www.imdb.com/name/nm0000389/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0000389/awards?ref_=nm_ql_2
258, Breck Eisner ,Breck Eisner,12/24/1970,"California, USA","['The Crazies', 'Sahara', 'The Last Witch Hunter', 'Tango & Cash']",0,1,https://www.imdb.com/name/nm0252135/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0252135/awards?ref_=nm_ql_2
259, James Gunn,James Gunn,8/5/1966,"St. Louis, Missouri, USA","['Guardians of the Galaxy', 'Movie 43', 'Guardians of the Galaxy Vol. 2', 'Super']",15,10,https://www.imdb.com/name/nm0348181/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0348181/awards?ref_=nm_ql_2
260, Miguel Sapochnik ,Miguel Sapochnik,1974-7-0,NA,"['Repo Men', 'Game of Thrones', 'Trainspotting', 'Altered Carbon']",2,4,https://www.imdb.com/name/nm0764601/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0764601/awards?ref_=nm_ql_2
261, Alan Poul ,Alan Poul,NA,NA,"['Six Feet Under', 'Black Rain', 'The Back-up Plan', 'Candyman']",2,13,https://www.imdb.com/name/nm0693561/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0693561/awards?ref_=nm_ql_2
262, Neil LaBute ,Neil LaBute,3/19/1963,"Detroit, Michigan, USA","['In the Company of Men', 'The Wicker Man', 'Nurse Betty', 'Black Chicks']",14,17,https://www.imdb.com/name/nm0001438/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0001438/awards?ref_=nm_ql_2
263, George Tillman Jr. ,George Tillman Jr.,1/26/1969,"Milwaukee, Wisconsin, USA","['The Hate U Give', 'Faster', 'Notorious', 'Barbershop']",6,9,https://www.imdb.com/name/nm0863387/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0863387/awards?ref_=nm_ql_2
264, Andr?? ??vredal ,Andr?? ??vredal,NA,NA,"['Trollhunter', 'The Autopsy of Jane Doe', 'Tunnelen', 'Future Murder']",15,11,https://www.imdb.com/name/nm0004217/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0004217/awards?ref_=nm_ql_2
265, James Mangold ,James Mangold,12/16/1963,"New York City, New York, USA","['Logan', 'Walk the Line', 'Heavy', 'The Wolverine']",8,20,https://www.imdb.com/name/nm0003506/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0003506/awards?ref_=nm_ql_2
266, Joe Wright,Joe Wright,8/25/1972,"London, England, UK","['Pride & Prejudice', 'Atonement', 'Darkest Hour', 'Hanna']",11,35,https://www.imdb.com/name/nm0942504/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0942504/awards?ref_=nm_ql_2
267, Kenneth Branagh ,Kenneth Branagh,12/10/1960,"Belfast, Northern Ireland, UK","['Henry V', 'Hamlet', 'Much Ado About Nothing', 'Murder on the Orient Express']",31,64,https://www.imdb.com/name/nm0000110/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0000110/awards?ref_=nm_ql_2
268, Tate Taylor ,Tate Taylor,6/3/1969,"Jackson, Mississippi, USA","['The Help', ""Winter's Bone"", 'Pretty Ugly People', 'Chicken Party']",13,18,https://www.imdb.com/name/nm0853238/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0853238/awards?ref_=nm_ql_2
269, Martin Campbell,Martin Campbell,10/24/1943,"Hastings, New Zealand","['Casino Royale', 'Vertical Limit', 'GoldenEye', 'The Mask of Zorro']",3,2,https://www.imdb.com/name/nm0132709/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0132709/awards?ref_=nm_ql_2
270, Olivier Nakache ,Olivier Nakache,4/15/1973,"Suresnes, Hauts-de-Seine, France","['The Intouchables', ""C'est la vie!"", 'Tellement proches', 'Samba']",17,27,https://www.imdb.com/name/nm0619923/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0619923/awards?ref_=nm_ql_2
271, Paul Feig ,Paul Feig,9/17/1962,"Mount Clemens, Michigan, USA","['Freaks and Geeks', 'The Heat', 'Spy', 'Ghostbusters']",8,11,https://www.imdb.com/name/nm0082450/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0082450/awards?ref_=nm_ql_2
272, Glenn Ficarra ,Glenn Ficarra,NA,NA,"['I Love You Phillip Morris', 'Cats & Dogs', 'This Is Us', 'Focus']",2,11,https://www.imdb.com/name/nm0275629/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0275629/awards?ref_=nm_ql_2
273, Drew Goddard ,Drew Goddard,2/26/1975,"Los Alamos, New Mexico, USA","['The Martian', 'The Cabin in the Woods', 'Lost', 'Bad Times at the El Royale']",16,47,https://www.imdb.com/name/nm1206844/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm1206844/awards?ref_=nm_ql_2
274, Mike Cahill,Mike Cahill,7/5/1979,"New Haven, Connecticut, USA","['Another Earth', 'I Origins', 'Doctors', 'Sound of My Voice']",5,9,https://www.imdb.com/name/nm2648685/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm2648685/awards?ref_=nm_ql_2
275, Brad Bird ,Brad Bird,9/24/1957,"Kalispell, Montana, USA","['The Incredibles', 'Ratatouille', 'Incredibles 2', 'The Iron Giant']",32,40,https://www.imdb.com/name/nm0083348/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0083348/awards?ref_=nm_ql_2
276, Gavin O'Connor ,Gavin O'Connor,12/24/1963,"Long Island, New York, USA","['The Accountant', 'Pride and Glory', 'Warrior', 'Tumbleweeds']",4,3,https://www.imdb.com/name/nm0640334/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0640334/awards?ref_=nm_ql_2
277, Julia Leigh,Julia Leigh,NA,NA,"['Sleeping Beauty', 'The Hunter', 'Disquiet', 'Festival international de Cannes']",4,22,https://www.imdb.com/name/nm3772967/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm3772967/awards?ref_=nm_ql_2
278, Bennett Miller,Bennett Miller,12/30/1966,"New York City, New York, USA","['Foxcatcher', 'Capote', 'Moneyball', 'The Cruise']",16,24,https://www.imdb.com/name/nm0587955/?ref_=adv_li_dr_0,https://www.imdb.com/name/nm0587955/awards?ref_=nm_ql_2
