,st_name,st_date,st_place,st_knownfor,st_awards_wins,st_awards_nominations,st_link,st_awards_link
61,Kelly Reilly,7/18/77,"Surrey, England, UK","['Flight', 'Eden Lake', 'Pride & Prejudice', 'Sherlock Holmes']",7,4,https://www.imdb.com/name/nm0717709/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0717709/awards?ref_=nm_ql_2
62,Keira Knightley,3/26/85,"Teddington, Middlesex, England, UK","['Pirates of the Caribbean: The Curse of the Black Pearl', 'Atonement', 'Pride & Prejudice', 'The Imitation Game']",28,97,https://www.imdb.com/name/nm0461136/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0461136/awards?ref_=nm_ql_2
63,Gabriel Macht,1/22/72,"The Bronx, New York City, New York, USA","['The Good Shepherd', 'Suits', 'The Spirit', 'Because I Said So']",1,1,https://www.imdb.com/name/nm0532683/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0532683/awards?ref_=nm_ql_2
64,Ryan Reynolds,10/23/76,"Vancouver, British Columbia, Canada","['Deadpool', 'Deadpool 2', 'X-Men Origins: Wolverine', 'Buried']",17,47,https://www.imdb.com/name/nm0005351/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0005351/awards?ref_=nm_ql_2
32,Shawn Ashmore,10/7/79,"Richmond, British Columbia, Canada","['X2: X-Men United', 'Frozen', 'X-Men: The Last Stand', 'X-Men']",4,9,https://www.imdb.com/name/nm0039162/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0039162/awards?ref_=nm_ql_2
33,Ray Stevenson,5/25/64,"Lisburn, Northern Ireland, UK","['Thor', 'The Three Musketeers', 'Thor: The Dark World', 'Kill the Irishman']",0,1,https://www.imdb.com/name/nm0829032/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0829032/awards?ref_=nm_ql_2
34,Rhona Mitra,8/9/76,"Paddington, London, England, UK","['Underworld: Rise of the Lycans', 'Doomsday', 'The Life of David Gale', 'Boston Legal']",0,1,https://www.imdb.com/name/nm0593961/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0593961/awards?ref_=nm_ql_2
35,Paul Rudd,4/6/69,"Passaic, New Jersey, USA","['Ant-Man', 'I Love You, Man', 'Ant-Man and the Wasp', 'The 40 Year Old Virgin']",8,19,https://www.imdb.com/name/nm0748620/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0748620/awards?ref_=nm_ql_2
36,Cate Blanchett,5/14/69,"Melbourne, Victoria, Australia","['Carol', 'Elizabeth', 'Blue Jasmine', 'The Aviator']",152,185,https://www.imdb.com/name/nm0000949/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0000949/awards?ref_=nm_ql_2
37,Sean Penn,8/17/60,"Santa Monica, California, USA","['Mystic River', 'Milk', '21 Grams', 'Dead Man Walking']",73,106,https://www.imdb.com/name/nm0000576/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0000576/awards?ref_=nm_ql_2
