	movie	year	runtime	genre	imdb	metascore	votes	gross	director	dr_link	star1	st1_link	star2	st2_link
73	Changeling	(2008)	141 min	"
Biography, Crime, Drama            "	7.7	63	222023	$35.74M	Clint Eastwood	/name/nm0000142/?ref_=adv_li_dr_0	Angelina Jolie	/name/nm0001401/?ref_=adv_li_st_0	Colm Feore	/name/nm0272173/?ref_=adv_li_st_1
74	Punisher: War Zone	(2008)	103 min	"
Action, Adventure, Crime            "	6.0	30	56919	$7.95M	Lexi Alexander	/name/nm0591994/?ref_=adv_li_dr_0	Ray Stevenson	/name/nm0829032/?ref_=adv_li_st_0	Dominic West	/name/nm0922035/?ref_=adv_li_st_1
75	Madagascar: Escape 2 Africa	(2008)	89 min	"
Animation, Adventure, Comedy            "	6.7	61	181292	$180.01M	Eric Darnell	/name/nm0201509/?ref_=adv_li_dr_0	Ben Stiller	/name/nm0001774/?ref_=adv_li_st_0	Chris Rock	/name/nm0001674/?ref_=adv_li_st_1
76	Doomsday	(2008)	105 min	"
Action, Sci-Fi, Thriller            "	6.0	51	68484	$10.96M	Neil Marshall	/name/nm0551076/?ref_=adv_li_dr_0	Rhona Mitra	/name/nm0593961/?ref_=adv_li_st_0	Bob Hoskins	/name/nm0001364/?ref_=adv_li_st_1
77	Role Models	(2008)	99 min	"
Comedy            "	6.8	61	210877	$67.29M	David Wain	/name/nm0906476/?ref_=adv_li_dr_0	Paul Rudd	/name/nm0748620/?ref_=adv_li_st_0	Seann William Scott	/name/nm0005405/?ref_=adv_li_st_1
78	Ponyo	(2008)	101 min	"
Animation, Adventure, Comedy            "	7.7	86	106089	$15.09M	Hayao Miyazaki	/name/nm0594503/?ref_=adv_li_dr_0	Cate Blanchett	/name/nm0000949/?ref_=adv_li_st_0	Matt Damon	/name/nm0000354/?ref_=adv_li_st_1
79	Milk	(I) (2008)	128 min	"
Biography, Drama            "	7.6	84	154922	$31.84M	Gus Van Sant	/name/nm0001814/?ref_=adv_li_dr_0	Sean Penn	/name/nm0000576/?ref_=adv_li_st_0	Josh Brolin	/name/nm0000982/?ref_=adv_li_st_1
80	Hunger	(2008)	96 min	"
Biography, Drama            "	7.6	82	60822	$0.15M	Steve McQueen	/name/nm2588606/?ref_=adv_li_dr_0	Stuart Graham	/name/nm0334324/?ref_=adv_li_st_0	Laine Megaw	/name/nm0002565/?ref_=adv_li_st_1
81	Speed Racer	(2008)	135 min	"
Action, Adventure, Comedy            "	6.0	37	64794	$43.95M	Lana Wachowski	/name/nm0905154/?ref_=adv_li_dr_0	Emile Hirsch	/name/nm0386472/?ref_=adv_li_st_0	Matthew Fox	/name/nm0289142/?ref_=adv_li_st_1
82	The Midnight Meat Train	(2008)	100 min	"
Horror, Mystery            "	6.1	58	55025	$0.08M	Ryûhei Kitamura	/name/nm0457565/?ref_=adv_li_dr_0	Vinnie Jones	/name/nm0005068/?ref_=adv_li_st_0	Bradley Cooper	/name/nm0177896/?ref_=adv_li_st_1
83	Defiance	(I) (2008)	137 min	"
Action, Drama, History            "	7.2	58	129615	$28.64M	Edward Zwick	/name/nm0001880/?ref_=adv_li_dr_0	Daniel Craig	/name/nm0185819/?ref_=adv_li_st_0	Liev Schreiber	/name/nm0000630/?ref_=adv_li_st_1
84	Quarantine	(2008)	89 min	"
Horror, Thriller            "	6.0	53	64883	$31.69M	John Erick Dowdle	/name/nm0235719/?ref_=adv_li_dr_0	Jennifer Carpenter	/name/nm1358539/?ref_=adv_li_st_0	Steve Harris	/name/nm0004996/?ref_=adv_li_st_1
85	Journey to the Center of the Earth	(2008)	93 min	"
Action, Adventure, Family            "	5.8	57	103668	$101.70M	Eric Brevig	/name/nm0108094/?ref_=adv_li_dr_0	Brendan Fraser	/name/nm0000409/?ref_=adv_li_st_0	Josh Hutcherson	/name/nm1242688/?ref_=adv_li_st_1
86	Made of Honor	(2008)	101 min	"
Comedy, Romance            "	5.9	37	62705	$46.01M	Paul Weiland	/name/nm0917992/?ref_=adv_li_dr_0	Patrick Dempsey	/name/nm0001131/?ref_=adv_li_st_0	Michelle Monaghan	/name/nm1157358/?ref_=adv_li_st_1
87	Australia	(2008)	165 min	"
Adventure, Comedy, Drama            "	6.6	53	113247	$49.55M	Baz Luhrmann	/name/nm0525303/?ref_=adv_li_dr_0	Nicole Kidman	/name/nm0000173/?ref_=adv_li_st_0	Hugh Jackman	/name/nm0413168/?ref_=adv_li_st_1
88	Transporter 3	(2008)	104 min	"
Action, Thriller            "	6.1	51	146267	$31.72M	Olivier Megaton	/name/nm0576298/?ref_=adv_li_dr_0	Jason Statham	/name/nm0005458/?ref_=adv_li_st_0	Robert Knepper	/name/nm0460694/?ref_=adv_li_st_1
89	Nick and Norah's Infinite Playlist	(2008)	90 min	"
Comedy, Drama, Music            "	6.7	64	84059	$31.49M	Peter Sollett	/name/nm0813164/?ref_=adv_li_dr_0	Michael Cera	/name/nm0148418/?ref_=adv_li_st_0	Kat Dennings	/name/nm0993507/?ref_=adv_li_st_1
90	Marley & Me	(2008)	115 min	"
Comedy, Drama, Family            "	7.1	53	135083	$143.15M	David Frankel	/name/nm0291205/?ref_=adv_li_dr_0	Owen Wilson	/name/nm0005562/?ref_=adv_li_st_0	Jennifer Aniston	/name/nm0000098/?ref_=adv_li_st_1
91	Righteous Kill	(2008)	101 min	"
Crime, Drama, Mystery            "	6.0	36	80307	$40.08M	Jon Avnet	/name/nm0000816/?ref_=adv_li_dr_0	Robert De Niro	/name/nm0000134/?ref_=adv_li_st_0	Al Pacino	/name/nm0000199/?ref_=adv_li_st_1
92	Eagle Eye	(2008)	118 min	"
Action, Mystery, Thriller            "	6.6	43	166348	$101.11M	D.J. Caruso	/name/nm0142286/?ref_=adv_li_dr_0	Shia LaBeouf	/name/nm0479471/?ref_=adv_li_st_0	Michelle Monaghan	/name/nm1157358/?ref_=adv_li_st_1
93	Wild Child	(2008)	124 min	"
Comedy, Drama, Romance            "	6.1	NA	44987	$0.02M	Nick Moore	/name/nm0601680/?ref_=adv_li_dr_0	Emma Roberts	/name/nm0731075/?ref_=adv_li_st_0	Aidan Quinn	/name/nm0001644/?ref_=adv_li_st_1
