	dr_link	st1_link	st2_link
2	/name/nm0000116/?ref_=adv_li_dr_0	/name/nm0941777/?ref_=adv_li_st_0	/name/nm0757855/?ref_=adv_li_st_1
3	/name/nm0680846/?ref_=adv_li_dr_0	/name/nm0302108/?ref_=adv_li_st_0	/name/nm0177896/?ref_=adv_li_st_1
4	/name/nm0005363/?ref_=adv_li_dr_0	/name/nm0000375/?ref_=adv_li_st_0	/name/nm0000179/?ref_=adv_li_st_1
5	/name/nm1197971/?ref_=adv_li_dr_0	/name/nm0655585/?ref_=adv_li_st_0	/name/nm1119462/?ref_=adv_li_st_1
6	/name/nm0004303/?ref_=adv_li_dr_0	/name/nm0413168/?ref_=adv_li_st_0	/name/nm0000630/?ref_=adv_li_st_1
7	/name/nm2095817/?ref_=adv_li_dr_0	/name/nm0736622/?ref_=adv_li_st_0	/name/nm0267506/?ref_=adv_li_st_1
8	/name/nm0281508/?ref_=adv_li_dr_0	/name/nm0251986/?ref_=adv_li_st_0	/name/nm1297015/?ref_=adv_li_st_1
9	/name/nm0009190/?ref_=adv_li_dr_0	/name/nm1517976/?ref_=adv_li_st_0	/name/nm0704270/?ref_=adv_li_st_1
10	/name/nm0946734/?ref_=adv_li_dr_0	/name/nm0705356/?ref_=adv_li_st_0	/name/nm0914612/?ref_=adv_li_st_1
11	/name/nm0336620/?ref_=adv_li_dr_0	/name/nm0124930/?ref_=adv_li_st_0	/name/nm0004937/?ref_=adv_li_st_1
12	/name/nm0359387/?ref_=adv_li_dr_0	/name/nm2466842/?ref_=adv_li_st_0	/name/nm0000113/?ref_=adv_li_st_1
13	/name/nm0001392/?ref_=adv_li_dr_0	/name/nm0001838/?ref_=adv_li_st_0	/name/nm0000242/?ref_=adv_li_st_1
14	/name/nm0824882/?ref_=adv_li_dr_0	/name/nm1374980/?ref_=adv_li_st_0	/name/nm0001612/?ref_=adv_li_st_1
15	/name/nm0230032/?ref_=adv_li_dr_0	/name/nm0000799/?ref_=adv_li_st_0	/name/nm2973712/?ref_=adv_li_st_1
16	/name/nm0000520/?ref_=adv_li_dr_0	/name/nm0000288/?ref_=adv_li_st_0	/name/nm0000136/?ref_=adv_li_st_1
17	/name/nm1429471/?ref_=adv_li_dr_0	/name/nm0267812/?ref_=adv_li_st_0	/name/nm0765597/?ref_=adv_li_st_1
18	/name/nm0088955/?ref_=adv_li_dr_0	/name/nm1663205/?ref_=adv_li_st_0	/name/nm3107870/?ref_=adv_li_st_1
19	/name/nm0622112/?ref_=adv_li_dr_0	/name/nm0004778/?ref_=adv_li_st_0	/name/nm0001631/?ref_=adv_li_st_1
20	/name/nm1512910/?ref_=adv_li_dr_0	/name/nm0005377/?ref_=adv_li_st_0	/name/nm0000228/?ref_=adv_li_st_1
21	/name/nm0637615/?ref_=adv_li_dr_0	/name/nm1140926/?ref_=adv_li_st_0	/name/nm0209289/?ref_=adv_li_st_1
22	/name/nm0005101/?ref_=adv_li_dr_0	/name/nm2540339/?ref_=adv_li_st_0	/name/nm2555547/?ref_=adv_li_st_1
23	/name/nm0477129/?ref_=adv_li_dr_0	/name/nm0329481/?ref_=adv_li_st_0	/name/nm0000098/?ref_=adv_li_st_1
24	/name/nm0082526/?ref_=adv_li_dr_0	/name/nm0000681/?ref_=adv_li_st_0	/name/nm0015196/?ref_=adv_li_st_1
25	/name/nm0629334/?ref_=adv_li_dr_0	/name/nm0000288/?ref_=adv_li_st_0	/name/nm0941777/?ref_=adv_li_st_1
26	/name/nm1989536/?ref_=adv_li_dr_0	/name/nm0221046/?ref_=adv_li_st_0	/name/nm0330687/?ref_=adv_li_st_1
27	/name/nm0281945/?ref_=adv_li_dr_0	/name/nm0000113/?ref_=adv_li_st_0	/name/nm0005351/?ref_=adv_li_st_1
28	/name/nm0001885/?ref_=adv_li_dr_0	/name/nm0000353/?ref_=adv_li_st_0	/name/nm0001250/?ref_=adv_li_st_1
29	/name/nm0718646/?ref_=adv_li_dr_0	/name/nm0000123/?ref_=adv_li_st_0	/name/nm0267812/?ref_=adv_li_st_1
30	/name/nm0000386/?ref_=adv_li_dr_0	/name/nm0000131/?ref_=adv_li_st_0	/name/nm0628601/?ref_=adv_li_st_1
31	/name/nm0000416/?ref_=adv_li_dr_0	/name/nm0001626/?ref_=adv_li_st_0	/name/nm2178959/?ref_=adv_li_st_1
