	st_name	st_date	st_place	st_knownfor	st_awards_wins	st_awards_nominations	st_link	st_awards_link
1787	" Scott Speedman
"	1975-9-1	London, England, UK	['Underworld', 'The Strangers', 'Underworld: Evolution', 'Barefoot']	2	9	https://www.imdb.com/name/nm0005454/?ref_=adv_li_st_1	https://www.imdb.com/name/nm0005454/awards?ref_=nm_ql_2
1788	" Jeff Daniels
(I)
"	1955-2-19	Athens, Georgia, USA	['The Squid and the Whale', 'Dumb and Dumber', 'The Purple Rose of Cairo', 'Dumb and Dumber To']	18	42	https://www.imdb.com/name/nm0001099/?ref_=adv_li_st_1	https://www.imdb.com/name/nm0001099/awards?ref_=nm_ql_2
1789	" Om Puri
(1950–2017)
"	1950-10-18	Ambala, Punjab, India	['The Hundred-Foot Journey', 'East Is East', 'Hera Pheri', 'Wolf']	9	6	https://www.imdb.com/name/nm0700875/?ref_=adv_li_st_1	https://www.imdb.com/name/nm0700875/awards?ref_=nm_ql_2
1790	" Sheila Kelley
(I)
"	1961-10-9	Greensburg, Pennsylvania, USA	['One Fine Day', 'Singles', 'The Guest', 'Matchstick Men']	NA	NA	https://www.imdb.com/name/nm0445992/?ref_=adv_li_st_1	https://www.imdb.com/name/nm0445992/awards?ref_=nm_ql_2
1791	" Rosemarie DeWitt
"	1971-10-26	Flushing, Queens, New York City, New York, USA	"['Rachel Getting Married', 'Poltergeist', ""Your Sister's Sister"", 'Promised Land']"	9	24	https://www.imdb.com/name/nm1679669/?ref_=adv_li_st_1	https://www.imdb.com/name/nm1679669/awards?ref_=nm_ql_2
1792	" Gemma Arterton
"	1986-2-2	Gravesend, Kent, England, UK	['Prince of Persia: The Sands of Time', 'Quantum of Solace', 'Clash of the Titans', 'The Voices']	2	9	https://www.imdb.com/name/nm2605345/?ref_=adv_li_st_1	https://www.imdb.com/name/nm2605345/awards?ref_=nm_ql_2
1793	" Alice Eve
"	1982-2-6	London, England, UK	"['Before We Go', ""She's Out of My League"", 'Star Trek Into Darkness', 'Men in Black 3']"	NA	NA	https://www.imdb.com/name/nm1404408/?ref_=adv_li_st_1	https://www.imdb.com/name/nm1404408/awards?ref_=nm_ql_2
1794	" Mireille Enos
"	1975-9-22	Houston, Texas, USA	['World War Z', 'If I Stay', 'Sabotage', 'Gangster Squad']	0	8	https://www.imdb.com/name/nm0257969/?ref_=adv_li_st_1	https://www.imdb.com/name/nm0257969/awards?ref_=nm_ql_2
1795	" Amanda Fuller
"	1984-0-0	NA	"['Last Man Standing', 'Red White & Blue', ""Grey's Anatomy"", 'Starry Eyes']"	0	1	https://www.imdb.com/name/nm0298168/?ref_=adv_li_st_1	https://www.imdb.com/name/nm0298168/awards?ref_=nm_ql_2
1796	" Carmen Ejogo
"	1973-10-22	Kensington, London, England, UK	['Selma', 'It Comes at Night', 'Fantastic Beasts and Where to Find Them', 'Away We Go']	5	13	https://www.imdb.com/name/nm0252238/?ref_=adv_li_st_1	https://www.imdb.com/name/nm0252238/awards?ref_=nm_ql_2
